record_id,date_start,date_end,date_label,date_precision,confidence,dating_status,dating_method,source_type,manual_source_1,manual_source_2,evidence_quote_or_summary,review_status,research_note
P017,,,,未知,低,undated,unknown,诗人年谱,"孙钦善《高适年谱》",https://ccj.pku.edu.cn/Article/info?aid=271016354,"高适年谱研究本身提示不少行迹只能粗略编排；当前未找到《邯郸少年行》的直接系年。",needs_review,"与P057为重复作品；待查年谱正文和高适集系年。"
P026,,,,未知,低,undated,unknown,初唐四杰年谱,"张志烈《初唐四杰年谱》（巴蜀书社，1993）",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=89,"公开目录未给出《骢马》的具体作年。",needs_review,"题名短且可能与同题作品混淆，需核对杨炯集编年及正文首句。"
P027,,,,未知,低,undated,unknown,初唐四杰年谱,"张志烈《初唐四杰年谱》（巴蜀书社，1993）",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=89,"公开目录收录《紫骝马》，但未提供具体年份。",needs_review,"目前不以杨炯生平任职年份替代本诗作年。"
P028,,,,未知,低,undated,unknown,诗歌目录与作者索引,https://sou-yun.cn/PoemIndex.aspx?author=15132,https://sou-yun.cn/PoemBookNav.aspx?b=&d=87,"题名仅一字，自动检索产生错误候选；作者诗目未给出可核验作年。",needs_review,"后续应以首句和《李峤杂咏》组诗关系核对编年资料。"
P029,,,,未知,低,undated,unknown,诗歌目录与作者索引,https://sou-yun.cn/PoemIndex.aspx?author=15132,https://sou-yun.cn/PoemBookNav.aspx?b=&d=87,"题名仅一字，自动检索产生错误候选；作者诗目未给出可核验作年。",needs_review,"后续应以首句和咏物组诗关系核对编年资料。"
P035,673,673,673年,单年系年,低,exact,poet_chronology,诗歌编年数据库,https://sou-yun.cn/Query.aspx?id=42169&type=poem1,,"诗词检索数据库将《代女道士王灵妃赠道士李荣》系于673年，并标示地点为成都。",manual_single_source,"公开数据库给出单年与地点，尚待核对骆宾王集编年底本。"
P036,,,,未知,低,undated,unknown,历史事件背景与诗歌条目,https://m.gushiwen.cn/shiwenv_aa668a7e5213.aspx,https://m.thepaper.cn/newsDetail_forward_12157730,"资料只将作品置于唐高宗时期辽东战事背景，尚不足以确定某次出征或具体年份。",needs_review,"不能仅凭“高宗时期”或666—668年对高句丽战争直接定年；需查骆宾王年谱。"
P041,,,,未知,低,undated,unknown,诗人年谱,"张清华《王维年谱》",https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,"作品涉及高适之弟高耽，但当前未找到可把该人物事件落实到具体年份的可靠资料。",needs_review,"待结合高耽生平、王维交游及两家年谱交叉核对。"
P048,,,,未知,低,undated,unknown,诗人年谱,"张清华《王维年谱》",https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,"当前未找到“比部杨员外”任职与十五夜事件的可靠具体年份。",needs_review,"待查题中人物身份、任官表及王维年谱原页。"
P049,,,,未知,低,undated,unknown,诗人生平考证,"谭优学《李颀行年考》",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=35,"《古意》题名通用且公开目录未标年，无法排除同题误配。",needs_review,"后续应以首句“男儿事长征”核对傅璇琮《李颀考》与李颀集。"
P050,725,725,725年,单年系年,低,exact,poet_chronology,诗歌编年数据库,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=22,,"诗词检索数据库在王昌龄编年目录中将《塞下曲四首》其一列于725年。",manual_single_source,"公开数据库给出单年，尚待核对其底本；组诗各首是否同年亦需说明。"
P056,,,,未知,低,undated,unknown,诗人年谱,"孙钦善《高适年谱》",https://ccj.pku.edu.cn/Article/info?aid=271016354,"网络材料常把《古大梁行》联系到高适早期宋中漫游，但未取得直接系年页码。",needs_review,"不采用未经原文核验的744—747年范围；待查年谱正文。"
P058,754,754,754年,单年系年,低,exact,poet_chronology,诗歌鉴赏资料,https://www.gushiwen.cn/shiwenv_0969132b962a.aspx,"周啸天等《唐诗鉴赏辞典补编》（四川文艺出版社，1990）第203—205页","公开作品页将《送浑将军出塞》系于754年，并列出两种纸本鉴赏资料作为参考。",manual_single_source,"年份目前通过公开页面转引，需核对所列纸本原页后再提高置信度。"
P070,788,788,788年,事件锚定,低,exact,event_anchor,诗人生平考辨,"卞孝萱《李益年谱稿》",https://www.newsmth.net/bbsanc.php?path=%2Fgroups%2Fliteral.faq%2FClassicPoem%2Fcp_list_sych%2Fscyj%2F20sjstwdwxyjzs%2FM.1138165318.80,"诗题为赴邠宁留别；生平考辨材料记李益于贞元四年（788）入邠宁张献甫幕，题目与事件相合。",needs_review,"属于事件锚定推断而非直接编年条目；须核对年谱原文及是否存在另一次赴邠宁。"
P084,,,,未知,低,undated,unknown,诗人作品目录,https://www.shigeku.com/shiku/gs/madai.htm,,"公开马戴作品目录收录《赠别北客》，但未提供作年或可定位的事件人物。",needs_review,"待查马戴生平年表、交游人物与晚唐诗人别集整理。"
P085,,,,未知,低,undated,unknown,诗人作品目录,https://www.shigeku.com/shiku/gs/madai.htm,,"公开马戴作品目录收录《广陵曲》，但未提供具体作年。",needs_review,"题目可能只指乐府旧题，不能由广陵地名直接推定行迹年份。"
P025,652,653,652年冬—653年春,跨年范围,低,range,poet_chronology,诗人年谱,"张志烈《初唐四杰年谱》（巴蜀书社，1993）第55—56页","祝尚书《卢照邻集笺注》增订本（上海古籍出版社，2011）卷二第85页","卢照邻652年在长安参选；材料将本诗系于当年冬或次年春。",manual_cross_checked,"两个整理来源共同支持跨年范围。"
P062,766,769,"766、767或769年",争议范围,低,disputed,chronological_edition,编年全集,"《杜甫全集校注》（人民文学出版社）第4758页",https://open.cnkgraph.com/Writing/31848,"编年条目列767年；黄鹤系于766年，梁权道系于769年。",manual_single_source,"保留三种系年异说，等待进一步核对各家原始编年依据。"
